maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact,efficiency
643,16851,550,1.05,1.03,11965,43.3,11415,2.9,0.71,0.11,0.68,0.1,0.1,69.8,1.16,1.0441176470588234
1102,29508,1165,1.06,1.03,20337,47.9,19172,3.8,0.69,0.13,0.65,0.1,0.1,71.8,1.01,1.0615384615384613
377,9918,178,1.03,1.03,7153,51.6,6975,3.2,0.72,0.13,0.7,0.1,0.1,69.2,1.13,1.0285714285714287
549,14214,492,1.05,1.03,9880,52.4,9388,3.5,0.7,0.14,0.66,0.11,0.11,72.4,1.03,1.0606060606060606
1564,41206,1170,1.04,1.03,28807,50.4,27637,4.3,0.7,0.14,0.67,0.1,0.1,69.7,1.05,1.044776119402985
423,10971,113,1.01,1.03,7988,37.9,7875,5.1,0.73,0.15,0.72,0.1,0.08,68.8,1.19,1.0138888888888888
376,9498,411,1.07,1.03,6710,41.8,6299,2.8,0.71,0.14,0.66,0.09,0.1,72.4,1.03,1.0757575757575757
655,17274,646,1.06,1.03,12087,29.8,11441,3.5,0.7,0.12,0.66,0.1,0.1,70.4,1.09,1.0606060606060606
406,10568,155,1.02,1.03,7573,52.7,7418,3.4,0.72,0.13,0.7,0.1,0.11,69.6,1.07,1.0285714285714287
1169,31054,1053,1.05,1.03,21565,53.8,20512,3.4,0.69,0.13,0.66,0.09,0.09,70.0,1.08,1.0454545454545454
1575,41834,1140,1.04,1.03,29842,54.4,28702,4.0,0.71,0.12,0.69,0.09,0.1,69.3,1.06,1.028985507246377
456,11711,380,1.05,1.03,8248,50.2,7868,3.9,0.7,0.14,0.67,0.11,0.11,71.7,1.08,1.044776119402985
629,16396,540,1.05,1.03,11628,56.0,11088,4.0,0.71,0.13,0.68,0.11,0.1,71.4,1.09,1.0441176470588234
1601,42283,1389,1.05,1.03,29497,54.5,28108,3.8,0.7,0.14,0.66,0.09,0.09,70.6,1.01,1.0606060606060606
487,13044,267,1.03,1.03,9244,45.1,8977,3.7,0.71,0.13,0.69,0.11,0.1,69.7,1.13,1.028985507246377
477,12701,186,1.02,1.03,9120,55.4,8934,4.8,0.72,0.13,0.7,0.1,0.1,69.0,1.15,1.0285714285714287
1592,41228,1019,1.04,1.02,29501,37.3,28482,4.2,0.72,0.13,0.69,0.08,0.08,66.8,1.06,1.0434782608695652
575,15453,402,1.04,1.02,10871,49.6,10469,3.7,0.7,0.13,0.68,0.09,0.1,69.7,1.09,1.0294117647058822
491,12779,320,1.04,1.02,9080,29.7,8760,2.0,0.71,0.11,0.69,0.08,0.08,68.3,1.16,1.028985507246377
1024,26554,1139,1.07,1.02,18315,29.2,17176,5.3,0.69,0.11,0.65,0.09,0.09,69.8,1.09,1.0615384615384613
483,12692,415,1.05,1.02,8814,35.3,8399,4.4,0.69,0.14,0.66,0.09,0.11,71.5,1.01,1.0454545454545454
1137,30234,703,1.03,1.02,21101,48.7,20398,4.8,0.7,0.14,0.67,0.09,0.1,68.8,1.11,1.044776119402985
